"Scenario","Variable","time_center","AR1","Variance","CV","Skewness","Kurtosis","Reddening"
"4y","ctotal",1998,-0.0430243990125026,4.12800894829495,-65.6216107001495,-0.335598664294674,-0.153759642016291,1.07950560389736
"4y","ctotal",1999,-0.0538471793909275,4.11754603113781,-115.684945673907,-0.358277407139191,-0.125126326651364,1.02503459929276
"4y","ctotal",2000,-0.034148010095681,4.93489154285996,-11.4252971519599,-0.355360319426101,-0.586070041739698,1.0415458303711
"4y","ctotal",2001,-0.104298764129426,5.08150396456175,-21.8623205297062,-0.450591199947359,-0.65487489179127,0.923135866428182
"4y","ctotal",2002,-0.00239839229426941,6.10460530408941,12.1771205692664,-0.340862661833528,-0.504403985781018,1.28126136957479
"4y","ctotal",2003,0.015514119681605,6.0911176241728,12.4753405781481,-0.336997665534429,-0.495899251242805,2.05449517206495
"4y","ctotal",2004,-0.0173918577061985,6.58303769563479,-16.663742079997,-0.163424001288931,-0.732264561384447,3.61240320636535
"4y","ctotal",2005,-0.0634021730243285,6.72713959114703,-68.9935121542608,-0.28932415753279,-0.788638994331366,3.44238418267578
"4y","ctotal",2006,-0.00051174041081427,6.85702149218663,-296.941534250228,-0.291568776563505,-0.841550012521532,3.1303184506507
"4y","ctotal",2007,-0.116566253093609,7.09571651898055,-47.582224670523,-0.26995605731348,-0.967708193349707,2.91291203988033
"4y","evapm",1988,-0.315039517890152,0.00113752261282605,52.7058011495831,-0.0141193986925352,0.863781262764179,0.566885530719283
"4y","evapm",1989,-0.300634278465151,0.00114874081817885,272.972245942159,0.0315084696820793,0.78129437992322,0.566469486393787
"4y","evapm",1990,-0.301824352565666,0.00114847808305537,89.5186516038403,0.0063961244672638,0.782572156711206,0.564782762196294
"4y","evapm",1991,-0.301808206802137,0.00114827659272247,101.945491574538,0.0109489586650284,0.784158227392546,0.56567129258556
"4y","evapm",1992,-0.303917614016921,0.00114867833444453,223.907895011821,0.0288148694086599,0.781644960171104,0.576374630426585
"4y","evapm",1993,-0.239205577242176,0.000977282311046693,-10.5039123431006,0.0511108234265781,1.68833037627948,0.542568980734643
"4y","evapm",1994,-0.303258597170435,0.000934501573107241,87.5324552218534,-0.166450747224895,2.07097280407381,0.482024454283958
"4y","evapm",1995,-0.367733324247059,0.000987695908299385,-60.5071051796833,-0.148588190003771,1.59699078930989,0.430741619273861
"4y","evapm",1996,-0.200334511548037,0.00111555159855615,-16.4503023786896,-0.221221583454028,0.960555330872621,0.567411602360962
"4y","evapm",1997,-0.2398806357493,0.00109628738117132,-12.1207695234804,-0.168017286039333,1.09082765766232,0.64099616334641
"4y","evapm",1998,-0.174172691868448,0.00129603659741828,-91.4781723821103,-0.0121679000992382,0.493755834243342,0.815438990454403
"4y","evapm",1999,0.102014186910735,0.00206628778890551,6.67364988890207,0.680556875250641,1.39391063001083,1.34499146821306
"4y","evapm",2000,0.285959237494603,0.00238839356850452,4.79109081703837,0.574481804791287,0.431830402274612,2.3290256636376
"4y","evapm",2001,0.0267879534945952,0.0043094889519727,-19.4601088996313,-0.926052378007701,3.36575344243281,2.93656549755352
"4y","evapm",2002,0.148420070882369,0.00411108876927831,-35.4026439845825,-1.00011976815105,4.04730347360756,2.41933230953713
"4y","evapm",2003,0.18159402964243,0.00434259430064349,-11.6203659036478,-0.789931885987047,3.07927959979318,2.66790950381061
"4y","evapm",2004,0.174578300469871,0.00433791098929547,-14.4729538181914,-0.847691806447988,3.16325716472872,2.50692854955592
"4y","evapm",2005,0.158631827267433,0.00523774889014574,32.1568922522163,-0.589419435165351,2.07531504593469,2.59860979500957
"4y","evapm",2006,0.245114643786157,0.00530723220297046,25.577216728654,-0.588559616082843,1.97341882794775,2.60313693194629
"4y","evapm",2007,0.17719748203378,0.00567305760366834,-117.702854799055,-0.464133428531162,1.27866945033985,2.4050543438156
"4y","npp",1988,-0.45748034483337,0.00935454870295302,-61.2078272039332,-0.603743085693172,1.53672745217681,0.368674963455659
"4y","npp",1989,-0.366631726873957,0.0097380881068189,-15.3711595989078,-0.444867395726633,1.05748904088371,0.368998592941671
"4y","npp",1990,-0.386204366812975,0.0111283581813242,48.0665647746582,-0.411269852033441,0.522618468949388,0.373515103304702
