"date","npp","photo","ar","lai","f5","evapm","cleaf","cwood","croot","csap","cheart","csto","ctotal","wue","ls","frequency","sim_year"
1991,1.66662332021799,2.47632791560105,0.869667535941741,7.33994463641242,0.840779645382012,1.7154050525821,0.255612073207875,37.5993708148782,0.338704586378221,3.96832383446851,33.6310469804097,21.8055476411198,59.9992351155842,0.00741334019774665,58,"4y",12
1992,1.20952995803649,2.01119292278522,0.854934166979678,7.08541795367458,0.66699771036411,1.54792259052362,0.242480897200404,44.345357776269,0.320793128710262,4.04142788299361,40.3039298932754,14.1774234533388,59.0860552555185,0.00646143888213863,58,"4y",13
1993,1.41197393722224,2.19894845224867,0.841621817972118,7.11682074612712,0.733880242196572,1.60096198542471,0.246369379775628,43.6831649278696,0.325891187089772,3.95743174360205,39.7257331842675,17.4264644020205,61.6818898967555,0.0072107467732761,57.0109589041096,"4y",14
1994,1.28471444346757,2.05984122102139,0.825028881959669,6.94280476079317,0.682827814186515,1.54752057574601,0.237890936288848,46.3894564117717,0.314306235861303,3.94346595697757,42.4459904547941,15.4245229360296,62.3661765199514,0.00794291920393331,57,"4y",15
1995,1.07437915917162,1.82565626198791,0.791181667821743,6.58694275350106,0.60340330716149,1.53071408379938,0.226245611120183,45.7929644487395,0.298021991382283,3.72916361307932,42.0638008356602,11.905723501935,58.222955553177,0.00709252039177332,57,"4y",16
1996,1.29505608582166,2.07885388199382,0.83426198473707,7.0325908386952,0.684584562441192,1.55502495320054,0.241849296521377,43.4080519278299,0.319652868877952,3.93938887007503,39.4686630577548,15.5979811990612,59.5675352922904,0.00792146185288292,57,"4y",17
1997,0.890430098763447,1.6087676380665,0.747483736603878,6.19917040730354,0.532094746630436,1.45798482124144,0.214487586585402,44.5726907042576,0.281378362799258,3.54058954277243,41.0321011614852,9.33084415523277,54.399400808875,0.00709658537955127,57,"4y",18
1998,0.89214945796607,1.6115108192832,0.744432859577654,6.28261803155752,0.525338723195581,1.43042396498094,0.217235716949252,40.9324833455277,0.284526528165593,3.50434517027924,37.4281381752485,9.24750226183193,50.6817478524745,0.00795837282438922,57,"4y",19
1999,1.0816961914978,1.81648672424022,0.771428672336317,6.6701387800812,0.5922033029001,1.42197113430012,0.228655582526083,43.8783440239797,0.300793401701887,3.71577939325911,40.1625646307206,12.1080487216143,56.515841729822,0.00912709153277201,57,"4y",20
2000,0.895517145634951,1.60151796654828,0.731044896493013,6.2763015650282,0.520337352936425,1.40122247022783,0.215734775424439,44.0012338367955,0.282527895810826,3.51448351683163,40.4867503199639,9.4678592463172,53.967355754348,0.00809350500622727,57,"4y",21
2001,0.789666256519851,1.48860933949954,0.717978684057251,6.06930124797023,0.485407863454199,1.38337001088353,0.210298934471015,41.4230028697293,0.274720440378627,3.39867080585175,38.0243320638776,7.82725056517831,49.7352728097573,0.00770978857745737,57,"4y",22
2002,0.763913875808644,1.45092540606735,0.704641276601919,5.95378537179529,0.473244177015041,1.37546861744084,0.207514506400343,39.1558494889237,0.270937408264422,3.30775243739948,35.8480970515242,7.38426276207443,47.0185641656629,0.00778581179244236,57,"4y",23
2003,0.820759948217922,1.53792723761649,0.739595414017695,6.22786629466901,0.500755798464879,1.40530341241975,0.215752685205421,38.9448931059002,0.282158257921314,3.45207934797223,35.4928137579279,8.20504436481226,47.6478484138391,0.00816218639062517,57,"4y",24
2004,0.749478241708395,1.46003379073873,0.727832450745217,6.08512340402796,0.470659548482417,1.34356886451559,0.215725902871719,39.2531556147102,0.281465290824112,3.39131454047395,35.8618410742363,7.18667494422626,46.9370217526323,0.00769159427402335,57,"4y",25
2005,0.647776327522131,1.31860190678835,0.682935022218752,5.7101471791228,0.427581321639917,1.31440006491487,0.202405160071226,36.2069580961556,0.263549826407097,3.16547771395409,33.0414803822015,5.61861850007457,42.2915315827085,0.00773423297871922,57,"4y",26
